index,phone_number,cluster,plan_name,category,estimated_cost,suitability,final_score,rank
4610,999-9996,2,All-Rounder 299,All-Rounder,356.64,0.734,0.689,2
4610,999-9996,2,Ultra Unlimited 499,Ultra,509.53,0.812,0.651,3
4611,799-7599,2,Unlimited Talk 399,Unlimited,411.71,0.813,0.701,1
4611,799-7599,2,All-Rounder 299,All-Rounder,356.14,0.738,0.691,2
4611,799-7599,2,Ultra Unlimited 499,Ultra,510.8,0.813,0.651,3
4612,785-9985,2,Unlimited Talk 399,Unlimited,411.77,0.805,0.697,1
4612,785-9985,2,All-Rounder Pro 399,All-Rounder,415.59,0.807,0.696,2
4612,785-9985,2,Ultra Unlimited 499,Ultra,510.86,0.805,0.647,3
4613,759-7985,2,Night Owl 199,Night,275.05,0.673,0.699,1
4613,759-7985,2,All-Rounder 299,All-Rounder,336.62,0.718,0.691,2
4613,759-7985,2,Unlimited Talk 399,Unlimited,401.77,0.765,0.682,3
4614,799-5557,1,All-Rounder 299,All-Rounder,341.62,0.741,0.7,1
4614,799-5557,1,Unlimited Talk 399,Unlimited,401.16,0.801,0.7,2
4614,799-5557,1,Ultra Unlimited 499,Ultra,501.0,0.801,0.65,3
4615,779-9778,3,Unlimited Talk 399,Unlimited,411.8,0.811,0.7,1
4615,779-9778,3,All-Rounder 299,All-Rounder,357.88,0.735,0.689,2
4615,779-9778,3,Ultra Unlimited 499,Ultra,510.88,0.811,0.65,3
4616,798-9959,3,Unlimited Talk 399,Unlimited,411.49,0.818,0.703,1
4616,798-9959,3,All-Rounder 299,All-Rounder,364.17,0.73,0.683,2
4616,798-9959,3,Ultra Unlimited 499,Ultra,510.6,0.818,0.654,3
4617,988-7895,2,Night Owl 199,Night,265.89,0.659,0.697,1
4617,988-7895,2,All-Rounder 299,All-Rounder,334.65,0.714,0.69,2
4617,988-7895,2,Midnight Max 299,Midnight,345.89,0.693,0.674,3
4618,789-9559,2,Unlimited Talk 399,Unlimited,401.41,0.807,0.703,1
4618,789-9559,2,All-Rounder 299,All-Rounder,353.13,0.733,0.69,2
4618,789-9559,2,Ultra Unlimited 499,Ultra,501.24,0.807,0.653,3
4619,755-9975,3,Unlimited Talk 399,Unlimited,411.46,0.78,0.684,1
4619,755-9975,3,All-Rounder 299,All-Rounder,351.58,0.708,0.678,2
4619,755-9975,3,Day Pro 349,Day,389.32,0.727,0.669,3
4620,779-9777,2,Unlimited Talk 399,Unlimited,401.1,0.811,0.705,1
4620,779-9777,2,All-Rounder 299,All-Rounder,346.83,0.747,0.7,2
4620,779-9777,2,Ultra Unlimited 499,Ultra,500.95,0.811,0.655,3
4621,759-9999,2,Unlimited Talk 399,Unlimited,400.85,0.815,0.707,1
4621,759-9999,2,All-Rounder 299,All-Rounder,354.04,0.738,0.692,2
4621,759-9999,2,Ultra Unlimited 499,Ultra,500.72,0.815,0.657,3
4622,779-9559,2,Unlimited Talk 399,Unlimited,401.35,0.813,0.706,1
4622,779-9559,2,All-Rounder 299,All-Rounder,345.94,0.749,0.702,2
4622,779-9559,2,Ultra Unlimited 499,Ultra,501.18,0.813,0.656,3
4623,777-9799,5,Unlimited Talk 399,Unlimited,401.38,0.812,0.705,1
4623,777-9799,5,All-Rounder 299,All-Rounder,353.2,0.733,0.69,2
4623,777-9799,5,Ultra Unlimited 499,Ultra,501.21,0.812,0.655,3
4624,987-5555,5,Unlimited Talk 399,Unlimited,411.46,0.8,0.694,1
4624,987-5555,5,All-Rounder 299,All-Rounder,367.29,0.709,0.671,2
4624,987-5555,5,Ultra Unlimited 499,Ultra,510.57,0.8,0.645,3
4625,985-7897,2,Unlimited Talk 399,Unlimited,400.23,0.808,0.704,1
4625,985-7897,2,All-Rounder 299,All-Rounder,348.74,0.738,0.695,2
4625,985-7897,2,Ultra Unlimited 499,Ultra,500.14,0.808,0.654,3
4626,769-9598,1,Night Owl 199,Night,286.72,0.661,0.687,1
4626,769-9598,1,All-Rounder 299,All-Rounder,347.14,0.713,0.683,2
4626,769-9598,1,Unlimited Talk 399,Unlimited,411.71,0.773,0.681,3
4627,989-9798,5,Unlimited Talk 399,Unlimited,401.49,0.805,0.702,1
4627,989-9798,5,All-Rounder 299,All-Rounder,351.76,0.733,0.691,2
4627,989-9798,5,Ultra Unlimited 499,Ultra,501.31,0.805,0.652,3
4628,776-9965,2,All-Rounder Pro 399,All-Rounder,409.54,0.815,0.703,1
4628,776-9965,2,Unlimited Talk 399,Unlimited,410.31,0.809,0.699,2
4628,776-9965,2,Ultra Unlimited 499,Ultra,509.5,0.809,0.65,3
4629,769-8989,2,Unlimited Talk 399,Unlimited,411.32,0.814,0.701,1
4629,769-8989,2,All-Rounder 299,All-Rounder,355.44,0.739,0.692,2
4629,769-8989,2,Ultra Unlimited 499,Ultra,510.44,0.814,0.652,3
4630,995-7686,2,Unlimited Talk 399,Unlimited,411.32,0.81,0.699,1
4630,995-7686,2,All-Rounder 299,All-Rounder,361.82,0.727,0.683,2
4630,995-7686,2,Ultra Unlimited 499,Ultra,510.44,0.81,0.65,3
4631,788-6795,1,Unlimited Talk 399,Unlimited,401.63,0.807,0.703,1
4631,788-6795,1,All-Rounder 299,All-Rounder,353.21,0.734,0.69,2
4631,788-6795,1,Ultra Unlimited 499,Ultra,501.44,0.807,0.653,3
4632,998-7897,5,Unlimited Talk 399,Unlimited,401.35,0.812,0.705,1
4632,998-7897,5,All-Rounder 299,All-Rounder,349.61,0.744,0.697,2
4632,998-7897,5,Ultra Unlimited 499,Ultra,501.18,0.812,0.655,3
4633,767-7698,3,Night Owl 199,Night,256.49,0.682,0.713,1
4633,767-7698,3,All-Rounder 299,All-Rounder,332.27,0.715,0.691,2
4633,767-7698,3,Midnight Max 299,Midnight,342.8,0.702,0.68,3
4634,799-5895,3,Night Owl 199,Night,248.93,0.687,0.719,1
4634,799-5895,3,All-Rounder 299,All-Rounder,322.7,0.725,0.701,2
4634,799-5895,3,Midnight Max 299,Midnight,330.54,0.703,0.686,3
4635,779-9678,5,Unlimited Talk 399,Unlimited,401.07,0.815,0.707,1
4635,779-9678,5,All-Rounder 299,All-Rounder,352.6,0.739,0.693,2
4635,779-9678,5,Ultra Unlimited 499,Ultra,500.92,0.815,0.657,3
4636,766-6759,3,Unlimited Talk 399,Unlimited,401.13,0.807,0.703,1
4636,766-6759,3,All-Rounder 299,All-Rounder,350.3,0.731,0.69,2
4636,766-6759,3,Ultra Unlimited 499,Ultra,500.98,0.807,0.653,3
4637,797-8595,2,Unlimited Talk 399,Unlimited,401.77,0.825,0.712,1
4637,797-8595,2,All-Rounder 299,All-Rounder,351.42,0.734,0.691,2
4637,797-8595,2,Ultra Unlimited 499,Ultra,501.57,0.825,0.662,3
4638,767-9995,2,Unlimited Talk 399,Unlimited,411.74,0.819,0.704,1
4638,767-9995,2,All-Rounder 299,All-Rounder,367.07,0.726,0.679,2
4638,767-9995,2,Ultra Unlimited 499,Ultra,510.83,0.819,0.654,3
4639,756-9875,5,Unlimited Talk 399,Unlimited,401.35,0.81,0.704,1
4639,756-9875,5,All-Rounder 299,All-Rounder,351.64,0.733,0.691,2
4639,756-9875,5,Ultra Unlimited 499,Ultra,501.18,0.81,0.654,3
4640,997-9898,3,Unlimited Talk 399,Unlimited,400.26,0.821,0.71,1
4640,997-9898,3,All-Rounder 299,All-Rounder,346.31,0.744,0.699,2
4640,997-9898,3,Ultra Unlimited 499,Ultra,500.17,0.821,0.66,3
4641,766-9999,3,Unlimited Talk 399,Unlimited,401.63,0.81,0.704,1
4641,766-9999,3,All-Rounder 299,All-Rounder,347.61,0.743,0.698,2
4641,766-9999,3,Ultra Unlimited 499,Ultra,501.44,0.81,0.654,3
4642,799-7886,3,Unlimited Talk 399,Unlimited,411.6,0.812,0.7,1
4642,799-7886,3,All-Rounder 299,All-Rounder,357.5,0.736,0.689,2
4642,799-7886,3,Ultra Unlimited 499,Ultra,510.7,0.812,0.651,3
4643,768-5697,3,Unlimited Talk 399,Unlimited,411.43,0.817,0.703,1
4643,768-5697,3,All-Rounder 299,All-Rounder,366.2,0.726,0.68,2
4643,768-5697,3,Ultra Unlimited 499,Ultra,510.54,0.817,0.653,3
4644,995-9876,1,Unlimited Talk 399,Unlimited,411.46,0.816,0.702,1
4644,995-9876,1,All-Rounder 299,All-Rounder,367.57,0.725,0.679,2
4644,995-9876,1,Ultra Unlimited 499,Ultra,510.57,0.816,0.653,3
4645,997-7655,3,Night Owl 199,Night,248.7,0.68,0.716,1
4645,997-7655,3,All-Rounder 299,All-Rounder,328.06,0.696,0.684,2
4645,997-7655,3,Midnight Max 299,Midnight,336.55,0.689,0.676,3
4646,779-5796,5,Unlimited Talk 399,Unlimited,411.32,0.813,0.701,1
4646,779-5796,5,All-Rounder 299,All-Rounder,354.47,0.74,0.693,2
4646,779-5796,5,Ultra Unlimited 499,Ultra,510.44,0.813,0.651,3
4647,958-7796,3,Unlimited Talk 399,Unlimited,411.52,0.818,0.703,1
4647,958-7796,3,All-Rounder 299,All-Rounder,359.16,0.735,0.688,2
4647,958-7796,3,Ultra Unlimited 499,Ultra,510.62,0.818,0.654,3
4648,767-7979,3,Unlimited Talk 399,Unlimited,399.0,0.806,0.704,1
4648,767-7979,3,All-Rounder 299,All-Rounder,353.5,0.733,0.69,2
4648,767-7979,3,Ultra Unlimited 499,Ultra,499.0,0.806,0.653,3
4649,997-5897,3,Unlimited Talk 399,Unlimited,411.57,0.817,0.703,1
4649,997-5897,3,All-Rounder 299,All-Rounder,359.88,0.734,0.687,2
4649,997-5897,3,Ultra Unlimited 499,Ultra,510.67,0.817,0.653,3
4650,959-8575,2,Unlimited Talk 399,Unlimited,400.6,0.815,0.707,1
4650,959-8575,2,All-Rounder 299,All-Rounder,343.17,0.747,0.702,2
4650,959-8575,2,Ultra Unlimited 499,Ultra,500.48,0.815,0.657,3
4651,775-9759,3,All-Rounder 299,All-Rounder,344.02,0.728,0.692,1
4651,775-9759,3,Unlimited Talk 399,Unlimited,410.37,0.782,0.686,2
4651,775-9759,3,Night Owl 199,Night,288.56,0.656,0.684,3
4652,766-5859,3,Night Owl 199,Night,272.99,0.676,0.702,1
4652,766-5859,3,All-Rounder 299,All-Rounder,334.7,0.724,0.695,2
4652,766-5859,3,Unlimited Talk 399,Unlimited,401.46,0.773,0.686,3
4653,767-7986,2,Unlimited Talk 399,Unlimited,401.49,0.809,0.704,1
4653,767-7986,2,All-Rounder 299,All-Rounder,348.33,0.742,0.697,2
4653,767-7986,2,Ultra Unlimited 499,Ultra,501.31,0.809,0.654,3
4654,995-5558,5,Night Owl 199,Night,262.31,0.671,0.704,1
4654,995-5558,5,All-Rounder 299,All-Rounder,333.22,0.719,0.693,2
4654,995-5558,5,Midnight Max 299,Midnight,343.21,0.699,0.678,3
4655,786-9977,3,Unlimited Talk 399,Unlimited,411.54,0.813,0.701,1
4655,786-9977,3,All-Rounder 299,All-Rounder,362.79,0.726,0.682,2
4655,786-9977,3,Ultra Unlimited 499,Ultra,510.65,0.813,0.651,3
4656,958-6788,5,Unlimited Talk 399,Unlimited,401.35,0.819,0.709,1
4656,958-6788,5,All-Rounder 299,All-Rounder,352.91,0.736,0.692,2
4656,958-6788,5,Ultra Unlimited 499,Ultra,501.18,0.819,0.659,3
4657,989-9959,3,Unlimited Talk 399,Unlimited,411.43,0.816,0.702,1
4657,989-9959,3,All-Rounder 299,All-Rounder,359.32,0.735,0.688,2
4657,989-9959,3,Ultra Unlimited 499,Ultra,510.54,0.816,0.653,3
4658,779-5588,3,Unlimited Talk 399,Unlimited,401.16,0.81,0.704,1
4658,779-5588,3,All-Rounder 299,All-Rounder,354.64,0.733,0.689,2
4658,779-5588,3,Ultra Unlimited 499,Ultra,501.0,0.81,0.655,3
4659,757-7995,1,Unlimited Talk 399,Unlimited,401.63,0.814,0.706,1
4659,757-7995,1,All-Rounder 299,All-Rounder,347.62,0.746,0.699,2
4659,757-7995,1,Ultra Unlimited 499,Ultra,501.44,0.814,0.656,3
4660,986-9898,0,Unlimited Talk 399,Unlimited,401.74,0.816,0.707,1
4660,986-9898,0,All-Rounder 299,All-Rounder,348.8,0.743,0.697,2
4660,986-9898,0,Ultra Unlimited 499,Ultra,501.55,0.816,0.657,3
4661,799-7985,3,Unlimited Talk 399,Unlimited,401.72,0.815,0.707,1
4661,799-7985,3,All-Rounder 299,All-Rounder,353.59,0.737,0.692,2
4661,799-7985,3,Ultra Unlimited 499,Ultra,501.52,0.815,0.657,3
4662,779-9859,2,All-Rounder Pro 399,All-Rounder,406.47,0.826,0.71,1
4662,779-9859,2,Unlimited Talk 399,Unlimited,401.63,0.821,0.71,2
4662,779-9859,2,Ultra Unlimited 499,Ultra,501.44,0.821,0.66,3
4663,778-8566,3,Night Owl 199,Night,265.27,0.657,0.696,1
4663,778-8566,3,All-Rounder 299,All-Rounder,334.88,0.709,0.687,2
4663,778-8566,3,Midnight Max 299,Midnight,346.08,0.693,0.673,3
4664,797-7858,5,Unlimited Talk 399,Unlimited,400.6,0.809,0.704,1
4664,797-7858,5,All-Rounder 299,All-Rounder,351.42,0.736,0.692,2
4664,797-7858,5,Ultra Unlimited 499,Ultra,500.48,0.809,0.654,3
4665,789-8896,2,All-Rounder 299,All-Rounder,341.94,0.741,0.7,1
4665,789-8896,2,Unlimited Talk 399,Unlimited,400.85,0.801,0.7,2
4665,789-8896,2,Ultra Unlimited 499,Ultra,500.72,0.801,0.65,3
4666,797-6898,2,Unlimited Talk 399,Unlimited,412.41,0.812,0.7,1
4666,797-6898,2,All-Rounder 299,All-Rounder,359.07,0.733,0.687,2
4666,797-6898,2,Ultra Unlimited 499,Ultra,511.45,0.812,0.65,3
4667,768-7989,5,Unlimited Talk 399,Unlimited,410.31,0.818,0.704,1
4667,768-7989,5,All-Rounder 299,All-Rounder,356.84,0.738,0.691,2
4667,768-7989,5,Ultra Unlimited 499,Ultra,509.5,0.818,0.654,3
4668,999-5798,1,Unlimited Talk 399,Unlimited,400.57,0.813,0.706,1
4668,999-5798,1,All-Rounder 299,All-Rounder,349.41,0.743,0.697,2
4668,999-5798,1,Ultra Unlimited 499,Ultra,500.46,0.813,0.656,3
4669,995-7756,1,Night Owl 199,Night,263.33,0.665,0.701,1
4669,995-7756,1,All-Rounder 299,All-Rounder,332.66,0.718,0.693,2
4669,995-7756,1,Midnight Max 299,Midnight,342.26,0.698,0.678,3
4670,775-7756,2,Unlimited Talk 399,Unlimited,411.52,0.808,0.698,1
4670,775-7756,2,All-Rounder 299,All-Rounder,359.25,0.727,0.684,2
4670,775-7756,2,Ultra Unlimited 499,Ultra,510.62,0.808,0.649,3
4671,787-9755,5,Night Owl 199,Night,254.98,0.668,0.707,1
4671,787-9755,5,All-Rounder 299,All-Rounder,324.62,0.72,0.698,2
4671,787-9755,5,Midnight Max 299,Midnight,333.8,0.695,0.681,3
4672,989-7659,3,Unlimited Talk 399,Unlimited,401.69,0.81,0.704,1
4672,989-7659,3,All-Rounder 299,All-Rounder,348.98,0.74,0.696,2
4672,989-7659,3,Ultra Unlimited 499,Ultra,501.5,0.81,0.654,3
4673,998-5955,2,All-Rounder 299,All-Rounder,339.89,0.725,0.693,1
4673,998-5955,2,Unlimited Talk 399,Unlimited,411.43,0.766,0.677,2
4673,998-5955,2,Day Pro 349,Day,391.54,0.706,0.657,3
4674,999-9798,5,Unlimited Talk 399,Unlimited,400.96,0.799,0.699,1
4674,999-9798,5,All-Rounder 299,All-Rounder,344.7,0.734,0.695,2
4674,999-9798,5,Ultra Unlimited 499,Ultra,500.82,0.799,0.649,3
4675,767-5856,5,Unlimited Talk 399,Unlimited,401.13,0.819,0.709,1
4675,767-5856,5,All-Rounder 299,All-Rounder,356.57,0.732,0.688,2
4675,767-5856,5,Ultra Unlimited 499,Ultra,500.98,0.819,0.659,3
4676,767-6695,3,Unlimited Talk 399,Unlimited,411.46,0.816,0.702,1
4676,767-6695,3,All-Rounder 299,All-Rounder,358.13,0.736,0.689,2
4676,767-6695,3,Ultra Unlimited 499,Ultra,510.57,0.816,0.653,3
4677,779-6597,2,Unlimited Talk 399,Unlimited,411.43,0.816,0.702,1
4677,779-6597,2,All-Rounder 299,All-Rounder,359.16,0.735,0.688,2
4677,779-6597,2,Ultra Unlimited 499,Ultra,510.54,0.816,0.653,3
4678,777-9569,2,Unlimited Talk 399,Unlimited,411.43,0.807,0.698,1
4678,777-9569,2,All-Rounder 299,All-Rounder,359.85,0.727,0.684,2
4678,777-9569,2,Ultra Unlimited 499,Ultra,510.54,0.807,0.648,3
4679,758-9758,5,Unlimited Talk 399,Unlimited,411.71,0.811,0.7,1
4679,758-9758,5,All-Rounder 299,All-Rounder,358.05,0.732,0.687,2
4679,758-9758,5,Ultra Unlimited 499,Ultra,510.8,0.811,0.65,3
4680,788-9888,5,Unlimited Talk 399,Unlimited,411.43,0.812,0.7,1
4680,788-9888,5,All-Rounder 299,All-Rounder,356.58,0.737,0.69,2
4680,788-9888,5,Ultra Unlimited 499,Ultra,510.54,0.812,0.651,3
4681,778-7755,1,Unlimited Talk 399,Unlimited,401.72,0.812,0.705,1
4681,778-7755,1,All-Rounder 299,All-Rounder,345.42,0.749,0.702,2
4681,778-7755,1,Ultra Unlimited 499,Ultra,501.52,0.812,0.655,3
4682,757-9779,2,All-Rounder Pro 399,All-Rounder,414.72,0.808,0.697,1
4682,757-9779,2,Unlimited Talk 399,Unlimited,411.71,0.805,0.697,2
4682,757-9779,2,Ultra Unlimited 499,Ultra,510.8,0.805,0.647,3
4683,786-6575,3,Unlimited Talk 399,Unlimited,401.41,0.81,0.704,1
4683,786-6575,3,All-Rounder 299,All-Rounder,350.82,0.735,0.692,2
4683,786-6575,3,Ultra Unlimited 499,Ultra,501.24,0.81,0.654,3
4684,987-5575,3,Unlimited Talk 399,Unlimited,400.4,0.817,0.708,1
4684,987-5575,3,All-Rounder Pro 399,All-Rounder,411.85,0.815,0.702,2
4684,987-5575,3,Ultra Unlimited 499,Ultra,500.3,0.817,0.658,3
4685,986-9568,3,Unlimited Talk 399,Unlimited,401.63,0.799,0.699,1
4685,986-9568,3,All-Rounder 299,All-Rounder,343.58,0.735,0.696,2
4685,986-9568,3,Ultra Unlimited 499,Ultra,501.44,0.799,0.649,3
4686,759-6979,2,Unlimited Talk 399,Unlimited,401.49,0.809,0.704,1
4686,759-6979,2,All-Rounder 299,All-Rounder,347.88,0.74,0.696,2
4686,759-6979,2,Ultra Unlimited 499,Ultra,501.31,0.809,0.654,3
4687,779-7795,2,Unlimited Talk 399,Unlimited,401.72,0.798,0.698,1
4687,779-7795,2,All-Rounder 299,All-Rounder,358.28,0.708,0.675,2
4687,779-7795,2,Ultra Unlimited 499,Ultra,501.52,0.798,0.648,3
4688,767-5557,1,Unlimited Talk 399,Unlimited,410.34,0.813,0.701,1
4688,767-5557,1,All-Rounder 299,All-Rounder,355.74,0.738,0.691,2
4688,767-5557,1,Ultra Unlimited 499,Ultra,509.53,0.813,0.652,3
4689,775-8876,3,Unlimited Talk 399,Unlimited,401.38,0.816,0.707,1
4689,775-8876,3,All-Rounder 299,All-Rounder,352.14,0.737,0.692,2
4689,775-8876,3,Ultra Unlimited 499,Ultra,501.21,0.816,0.657,3
4690,798-6787,3,Unlimited Talk 399,Unlimited,401.18,0.807,0.703,1
4690,798-6787,3,All-Rounder 299,All-Rounder,350.03,0.737,0.693,2
4690,798-6787,3,Ultra Unlimited 499,Ultra,501.03,0.807,0.653,3
4691,778-8779,3,Unlimited Talk 399,Unlimited,411.52,0.808,0.698,1
4691,778-8779,3,All-Rounder 299,All-Rounder,360.08,0.73,0.685,2
4691,778-8779,3,Ultra Unlimited 499,Ultra,510.62,0.808,0.649,3
4692,775-7888,2,Unlimited Talk 399,Unlimited,410.45,0.814,0.702,1
4692,775-7888,2,All-Rounder Pro 399,All-Rounder,418.59,0.806,0.694,2
4692,775-7888,2,Ultra Unlimited 499,Ultra,509.63,0.814,0.652,3
4693,775-8769,1,Unlimited Talk 399,Unlimited,401.66,0.806,0.702,1
4693,775-8769,1,All-Rounder 299,All-Rounder,352.66,0.732,0.69,2
4693,775-8769,1,Ultra Unlimited 499,Ultra,501.47,0.806,0.652,3
4694,767-9798,2,Unlimited Talk 399,Unlimited,411.46,0.812,0.7,1
4694,767-9798,2,All-Rounder 299,All-Rounder,356.56,0.737,0.69,2
4694,767-9798,2,Ultra Unlimited 499,Ultra,510.57,0.812,0.651,3
4695,795-7857,1,Unlimited Talk 399,Unlimited,401.35,0.814,0.706,1
4695,795-7857,1,All-Rounder 299,All-Rounder,347.35,0.747,0.7,2
4695,795-7857,1,Ultra Unlimited 499,Ultra,501.18,0.814,0.656,3
4696,798-8795,1,Unlimited Talk 399,Unlimited,411.43,0.823,0.706,1
4696,798-8795,1,All-Rounder Pro 399,All-Rounder,420.99,0.801,0.69,2
4696,798-8795,1,Ultra Unlimited 499,Ultra,510.54,0.823,0.656,3
4697,786-7797,3,Unlimited Talk 399,Unlimited,400.85,0.794,0.697,1
4697,786-7797,3,All-Rounder 299,All-Rounder,349.56,0.716,0.683,2
4697,786-7797,3,Ultra Unlimited 499,Ultra,500.72,0.794,0.647,3
4698,998-6755,3,Unlimited Talk 399,Unlimited,400.65,0.813,0.706,1
4698,998-6755,3,All-Rounder 299,All-Rounder,347.76,0.747,0.7,2
4698,998-6755,3,Ultra Unlimited 499,Ultra,500.53,0.813,0.656,3
4699,799-6969,3,Unlimited Talk 399,Unlimited,401.41,0.817,0.708,1
4699,799-6969,3,All-Rounder 299,All-Rounder,345.64,0.743,0.699,2
4699,799-6969,3,Ultra Unlimited 499,Ultra,501.24,0.817,0.658,3
4700,766-7779,2,Unlimited Talk 399,Unlimited,411.99,0.819,0.704,1
4700,766-7779,2,All-Rounder 299,All-Rounder,367.54,0.725,0.679,2
4700,766-7779,2,Ultra Unlimited 499,Ultra,511.06,0.819,0.654,3
4701,769-8588,2,Unlimited Talk 399,Unlimited,401.66,0.817,0.708,1
4701,769-8588,2,All-Rounder 299,All-Rounder,358.03,0.73,0.686,2
4701,769-8588,2,Ultra Unlimited 499,Ultra,501.47,0.817,0.658,3
4702,777-6675,3,Night Owl 199,Night,257.25,0.677,0.71,1
4702,777-6675,3,All-Rounder 299,All-Rounder,335.42,0.704,0.684,2
4702,777-6675,3,Midnight Max 299,Midnight,342.74,0.709,0.683,3
4703,988-9597,2,All-Rounder 299,All-Rounder,339.52,0.722,0.691,1
4703,988-9597,2,Unlimited Talk 399,Unlimited,401.35,0.772,0.685,2
4703,988-9597,2,Day Pro 349,Day,374.44,0.74,0.683,3
4704,778-7596,2,Unlimited Talk 399,Unlimited,401.13,0.814,0.706,1
4704,778-7596,2,All-Rounder 299,All-Rounder,347.39,0.747,0.7,2
4704,778-7596,2,Ultra Unlimited 499,Ultra,500.98,0.814,0.657,3
4705,789-9578,2,Unlimited Talk 399,Unlimited,401.52,0.819,0.709,1
4705,789-9578,2,All-Rounder 299,All-Rounder,353.11,0.736,0.691,2
4705,789-9578,2,Ultra Unlimited 499,Ultra,501.34,0.819,0.659,3
4706,779-7895,2,Unlimited Talk 399,Unlimited,401.41,0.809,0.704,1
4706,779-7895,2,All-Rounder 299,All-Rounder,351.09,0.733,0.691,2
4706,779-7895,2,Ultra Unlimited 499,Ultra,501.24,0.809,0.654,3
4707,755-7658,3,Night Owl 199,Night,244.35,0.695,0.725,1
4707,755-7658,3,All-Rounder 299,All-Rounder,324.95,0.715,0.695,2
4707,755-7658,3,Midnight Max 299,Midnight,329.47,0.712,0.691,3
4708,997-7797,5,Unlimited Talk 399,Unlimited,412.13,0.821,0.704,1
4708,997-7797,5,All-Rounder 299,All-Rounder,362.23,0.73,0.684,2
4708,997-7797,5,Ultra Unlimited 499,Ultra,511.19,0.821,0.655,3
4709,777-9758,1,Unlimited Talk 399,Unlimited,411.6,0.81,0.699,1
4709,777-9758,1,All-Rounder 299,All-Rounder,359.89,0.732,0.686,2
4709,777-9758,1,Ultra Unlimited 499,Ultra,510.7,0.81,0.65,3
4710,995-6998,5,All-Rounder 299,All-Rounder,340.46,0.746,0.703,1
4710,995-6998,5,Unlimited Talk 399,Unlimited,400.65,0.803,0.701,2
4710,995-6998,5,Ultra Unlimited 499,Ultra,500.53,0.803,0.651,3
4711,798-9887,2,Unlimited Talk 399,Unlimited,401.35,0.806,0.702,1
4711,798-9887,2,All-Rounder 299,All-Rounder,352.15,0.73,0.689,2
4711,798-9887,2,Ultra Unlimited 499,Ultra,501.18,0.806,0.652,3
4712,988-7885,2,Unlimited Talk 399,Unlimited,411.32,0.816,0.702,1
4712,988-7885,2,All-Rounder 299,All-Rounder,363.08,0.73,0.683,2
4712,988-7885,2,Ultra Unlimited 499,Ultra,510.44,0.816,0.653,3
4713,795-7975,2,Unlimited Talk 399,Unlimited,410.34,0.818,0.704,1
4713,795-7975,2,All-Rounder 299,All-Rounder,357.4,0.732,0.687,2
4713,795-7975,2,Ultra Unlimited 499,Ultra,509.53,0.818,0.654,3
4714,776-7997,3,Unlimited Talk 399,Unlimited,412.02,0.813,0.7,1
4714,776-7997,3,All-Rounder 299,All-Rounder,356.89,0.737,0.69,2
4714,776-7997,3,Ultra Unlimited 499,Ultra,511.09,0.813,0.651,3
4715,755-5975,2,Night Owl 199,Night,277.5,0.685,0.704,1
4715,755-5975,2,All-Rounder 299,All-Rounder,339.33,0.728,0.694,2
4715,755-5975,2,Unlimited Talk 399,Unlimited,411.82,0.768,0.678,3
4716,796-6755,1,Unlimited Talk 399,Unlimited,400.65,0.816,0.708,1
4716,796-6755,1,All-Rounder 299,All-Rounder,358.04,0.728,0.685,2
4716,796-6755,1,Ultra Unlimited 499,Ultra,500.53,0.816,0.658,3
4717,985-7967,3,Unlimited Talk 399,Unlimited,401.74,0.807,0.703,1
4717,985-7967,3,All-Rounder 299,All-Rounder,357.39,0.729,0.686,2
4717,985-7967,3,Ultra Unlimited 499,Ultra,501.55,0.807,0.653,3
4718,779-8556,3,Unlimited Talk 399,Unlimited,401.72,0.813,0.706,1
4718,779-8556,3,All-Rounder 299,All-Rounder,347.82,0.734,0.693,2
4718,779-8556,3,Ultra Unlimited 499,Ultra,501.52,0.813,0.656,3
4719,998-5797,5,Unlimited Talk 399,Unlimited,401.49,0.811,0.705,1
4719,998-5797,5,All-Rounder 299,All-Rounder,355.74,0.729,0.687,2
4719,998-5797,5,Ultra Unlimited 499,Ultra,501.31,0.811,0.655,3
4720,988-5996,2,Night Owl 199,Night,267.21,0.655,0.694,1
4720,988-5996,2,All-Rounder 299,All-Rounder,332.63,0.72,0.694,2
4720,988-5996,2,Midnight Max 299,Midnight,347.67,0.682,0.667,3
4721,778-5656,1,Unlimited Talk 399,Unlimited,411.54,0.801,0.695,1
4721,778-5656,1,All-Rounder 299,All-Rounder,353.08,0.73,0.688,2
4721,778-5656,1,Ultra Unlimited 499,Ultra,510.65,0.801,0.645,3
4722,988-9779,2,Unlimited Talk 399,Unlimited,401.63,0.81,0.704,1
4722,988-9779,2,All-Rounder 299,All-Rounder,347.94,0.743,0.698,2
4722,988-9779,2,Ultra Unlimited 499,Ultra,501.44,0.81,0.654,3
4723,999-9688,3,Unlimited Talk 399,Unlimited,410.2,0.81,0.7,1
4723,999-9688,3,All-Rounder 299,All-Rounder,360.1,0.731,0.685,2
4723,999-9688,3,Ultra Unlimited 499,Ultra,509.4,0.81,0.65,3
4724,797-5599,3,Unlimited Talk 399,Unlimited,411.57,0.812,0.7,1
4724,797-5599,3,All-Rounder 299,All-Rounder,360.0,0.73,0.685,2
4724,797-5599,3,Ultra Unlimited 499,Ultra,510.67,0.812,0.651,3
4725,989-5586,3,Unlimited Talk 399,Unlimited,411.71,0.809,0.699,1
4725,989-5586,3,All-Rounder 299,All-Rounder,362.81,0.726,0.682,2
